,polish,check,english,sentence,polish_html,english_html,sentence_html
0,bateria,bateria,battery,podała mi nową baterie,"<h4 style='color:rgb(0, 180, 250)'>bateria</h4>    <p><i><h6>podała mi nową <span style='color:rgb(0, 180, 250)'>baterie</span> </h6></i></p>",<h3>battery</h3>,"<p><i><h6>podała mi nową <span style='color:rgb(0, 180, 250)'>baterie</span> </h6></i></p>"
1,bezpośrednio,bezpośrednio,directly,i bezpośrednio po nim postawić orzeczenie,"<h4 style='color:rgb(0, 180, 250)'>bezpośrednio</h4>    <p><i><h6>i <span style='color:rgb(0, 180, 250)'>bezpośrednio</span> po nim postawić orzeczenie </h6></i></p>",<h3>directly</h3>,"<p><i><h6>i <span style='color:rgb(0, 180, 250)'>bezpośrednio</span> po nim postawić orzeczenie </h6></i></p>"
2,charakter,postać,character,"o charakterze rozstrzygającym,","<h4 style='color:rgb(0, 180, 250)'>charakter</h4>    <p><i><h6>o <span style='color:rgb(0, 180, 250)'>charakterze</span> rozstrzygającym, </h6></i></p>",<h3>character</h3>,"<p><i><h6>o <span style='color:rgb(0, 180, 250)'>charakterze</span> rozstrzygającym, </h6></i></p>"
3,czynność,działanie,activity/action,"czyli o wykonawcę jakiejś czynności,","<h4 style='color:rgb(0, 180, 250)'>czynność</h4>    <p><i><h6>czyli o wykonawcę jakiejś <span style='color:rgb(0, 180, 250)'>czynności,</span> </h6></i></p>",<h3>activity/action</h3>,"<p><i><h6>czyli o wykonawcę jakiejś <span style='color:rgb(0, 180, 250)'>czynności,</span> </h6></i></p>"
4,dodatkowy,dodatkowy,additional,możecie dostać dodatkowe ćwiczenia,"<h4 style='color:rgb(0, 180, 250)'>dodatkowy</h4>    <p><i><h6>możecie dostać <span style='color:rgb(0, 180, 250)'>dodatkowe</span> ćwiczenia </h6></i></p>",<h3>additional</h3>,"<p><i><h6>możecie dostać <span style='color:rgb(0, 180, 250)'>dodatkowe</span> ćwiczenia </h6></i></p>"
5,doklejać,przyklejać,to stick,"doklejamy takie zdanie,","<h4 style='color:rgb(0, 180, 250)'>doklejać</h4>    <p><i><h6><span style='color:rgb(0, 180, 250)'>doklejamy</span> takie zdanie, </h6></i></p>",<h3>to stick</h3>,"<p><i><h6><span style='color:rgb(0, 180, 250)'>doklejamy</span> takie zdanie, </h6></i></p>"
6,domyślać się,zgadnąć,to guess/surmise,"Jak się domyślacie,","<h4 style='color:rgb(0, 180, 250)'>domyślać się</h4>    <p><i><h6>Jak się <span style='color:rgb(0, 180, 250)'>domyślacie,</span> </h6></i></p>",<h3>to guess/surmise</h3>,"<p><i><h6>Jak się <span style='color:rgb(0, 180, 250)'>domyślacie,</span> </h6></i></p>"
7,empatyczny,empatyczny,empathetic,"sprawić wrażenie osób nie tylko miłych i empatycznych,","<h4 style='color:rgb(0, 180, 250)'>empatyczny</h4>    <p><i><h6>sprawić wrażenie osób nie tylko miłych i <span style='color:rgb(0, 180, 250)'>empatycznych,</span> </h6></i></p>",<h3>empathetic</h3>,"<p><i><h6>sprawić wrażenie osób nie tylko miłych i <span style='color:rgb(0, 180, 250)'>empatycznych,</span> </h6></i></p>"
8,ewentualnie,alternatywnie,eventually,"i ewentualnie wyrazy,","<h4 style='color:rgb(0, 180, 250)'>ewentualnie</h4>    <p><i><h6>i <span style='color:rgb(0, 180, 250)'>ewentualnie</span> wyrazy, </h6></i></p>",<h3>eventually</h3>,"<p><i><h6>i <span style='color:rgb(0, 180, 250)'>ewentualnie</span> wyrazy, </h6></i></p>"
9,fiszka,karta,flash card,Pracę nad fiszkami,"<h4 style='color:rgb(0, 180, 250)'>fiszka</h4>    <p><i><h6>Pracę nad <span style='color:rgb(0, 180, 250)'>fiszkami</span> </h6></i></p>",<h3>flash card</h3>,"<p><i><h6>Pracę nad <span style='color:rgb(0, 180, 250)'>fiszkami</span> </h6></i></p>"
