,polish
0,aaa
1,achievable
2,aga
3,ajajaj
4,akcja
5,akurat
6,albo
7,ale
8,ależ
9,alfabet
10,alfabetu
11,ambasada
12,ambasady
13,angielski
14,angielskich
15,angielskiego
16,angielsku
17,ani
18,antek
19,antka
20,autobus
21,automacie
22,automat
23,automaty
24,automatycznie
25,azja
26,azji
27,ała
28,aż
29,bagaż
30,bagaże
31,bardziej
32,bardzo
33,bateria
34,baterie
35,baterię
36,bać się
37,be
38,bez
39,bezpośrednio
40,bezprzedziałowe
41,bezprzedziałowy
42,bezprzedziałowych
43,bezwzględni
44,bezwzględny
45,białorusi
46,białoruś
47,bieżąco
48,bilecie
49,bilet
50,biletowe
51,bilety
52,biletów
53,biznesowego
54,biznesowej
55,biznesowy
56,biznesowych
57,bliski
58,bliskich
59,bo
60,boże
61,bożonarodzeniowy
62,bożonarodzeniowych
63,braknąć
64,brakować
65,brakuje
66,brawurowa
67,brawurowy
68,brazylia
69,brazylii
70,brytania
71,brytanii
72,brytyjski
73,brytyjskiej
74,brzmi
75,brzmiała
76,brzmieć
77,by
78,bym
79,bywa
80,bywać
81,być
82,był
83,była
84,byłabyś
85,byłam
86,było
87,były
88,bójcie
89,bądźcie
90,będzie
91,będziecie
92,będziemy
93,będziesz
94,będą
95,będę
96,cariny
97,całe
98,całe życie
99,cały
100,całą
101,cecha
102,cel
103,celach
104,cele
105,celu
106,celów
107,challenge
108,charakter
109,charakterze
110,chce
111,chcecie
112,chcemy
113,chcesz
114,chciałabyś
115,chciałam
116,chciałby
117,chciało
118,chcieli
119,chcielibyście
120,chcielibyśmy
121,chcieć
122,chcę
123,chin
124,chodzi
125,chodzić
126,chodził
127,chodźcie
128,chora
129,choć
130,chwil
131,chwila
132,chwili
133,chwilę
134,chyba
135,ci
136,ciebie
137,ciekawi
138,ciekawszy
139,ciekawy
140,ciepło
141,cieszy
142,cieszyć
143,cieszyć się
144,co
145,codziennej
146,codziennie
147,codzienny
148,codziennych
149,cokolwiek
150,continuous
151,coraz
152,coś
153,czas
154,czasami
155,czasem
156,czasie
157,czasu
158,czego
159,czekaj
160,czekaliście
161,czekać
162,czemu
163,cześć
164,czwartek
165,czy
166,czyli
167,czym
168,czynności
169,czynność
170,czytajcie
171,czytasz
172,czytać
173,cząstkę
174,często
175,częściej
176,część
177,człowiek
178,człowiekiem
179,da
180,dajesz
181,daleki
182,dalekie
183,dalekobieżny
184,dalekobieżnych
185,dalekobieżnym
186,dalszej
187,dawaj
188,dać
189,dać się
190,deadline
191,deadline'ach
192,deadline'ami
193,decyzja
194,decyzję
195,dedykowane
196,dedykowany
197,deklinacja
198,deklinacji
199,dla
200,dlaczego
201,dlatego
202,dni
203,dnia
204,dniach
205,do
206,dobiega
207,dobiegać
208,dobra
209,dobrze
210,docelowego
211,docelowy
212,dodajemy
213,dodatkowe
214,dodatkowo
215,dodatkowy
216,dodać
217,dojdziecie
218,dojechać
219,dojechałyśmy
220,dojść
221,doklejamy
222,doklejać
223,doktorat
224,dokument
225,dokładne
226,dokładnie
227,dokładny
228,dole
229,domowy
230,domowym
231,domyślacie
232,domyślać się
233,dopasowane
234,dopasowany
235,dopiero
236,doskonale
237,doskonaly
238,dostaje
239,dostajemy
240,dostaniemy
241,dostać
242,dostałyśmy
243,dotyczące
244,dotyczący
245,dowiecie
246,dowiedzieć
247,dowiedzieć się
248,dowód
249,dołączyć
250,drodzy
251,droga
252,drogi
253,drogie
254,drogę
255,drożdżówka
256,drożdżówki
257,droższe
258,droższy
259,drugi
260,drugie
261,drugiej
262,drugim
263,drugą
264,drzwi
265,drzwiach
266,duże
267,dużo
268,duży
269,dużą
270,dwa
271,dwadzieścia
272,dwie
273,dwieście
274,dworcu
275,dworzec
276,dwudziestego
277,dwudziesty
278,dwóch
279,dysk
280,dyskusyjny
281,działa
282,działać
283,dziedzina
284,dziedzinach
285,dzieje
286,dzieli
287,dzielić
288,dziennie
289,dziesięć
290,dziewiętnastej
291,dzień
292,dzisiaj
293,dzisiejsza
294,dzisiejsze
295,dzisiejszy
296,dzisiejszym
297,dziwnie
