0,akcja dzieje się,udział,the plot takes place,"Tu mam fajną powieść, której akcja dzieje się w Nowym Jorku","<h4 style='color:rgb(0, 180, 250)'>akcja dzieje się</h4>    <p><i><h6>Tu mam fajną powieść, której <span style='color:rgb(0, 180, 250)'>akcja</span> dzieje się w Nowym Jorku </h6></i></p>",<h3>the plot takes place</h3>,"<p><i><h6>Tu mam fajną powieść, której <span style='color:rgb(0, 180, 250)'>akcja</span> dzieje się w Nowym Jorku </h6></i></p>"
1,całe życie,dożywotni,all my life,Całe życie próbuję nauczyć się angielskiego,"<h4 style='color:rgb(0, 180, 250)'>całe życie</h4>    <p><i><h6>Całe <span style='color:rgb(0, 180, 250)'>życie</span> próbuję nauczyć się angielskiego </h6></i></p>",<h3>all my life</h3>,"<p><i><h6>Całe <span style='color:rgb(0, 180, 250)'>życie</span> próbuję nauczyć się angielskiego </h6></i></p>"
2,dopasowany,wyposażone,suited/matched,"i bardziej dopasowany do tego, co Wam jest potrzebne,","<h4 style='color:rgb(0, 180, 250)'>dopasowany</h4>    <p><i><h6>i bardziej <span style='color:rgb(0, 180, 250)'>dopasowany</span> do tego, co Wam jest potrzebne, </h6></i></p>",<h3>suited/matched</h3>,"<p><i><h6>i bardziej <span style='color:rgb(0, 180, 250)'>dopasowany</span> do tego, co Wam jest potrzebne, </h6></i></p>"
3,dotyczący,dotyczący,concerning/regarding,"w kolejne wskazówki dotyczące tego,","<h4 style='color:rgb(0, 180, 250)'>dotyczący</h4>    <p><i><h6>w kolejne wskazówki <span style='color:rgb(0, 180, 250)'>dotyczące</span> tego, </h6></i></p>",<h3>concerning/regarding</h3>,"<p><i><h6>w kolejne wskazówki <span style='color:rgb(0, 180, 250)'>dotyczące</span> tego, </h6></i></p>"
4,dowód,dowód,evidence,To jest dowód mojej wielkiej pedagogicznej klęski,"<h4 style='color:rgb(0, 180, 250)'>dowód</h4>    <p><i><h6>To jest <span style='color:rgb(0, 180, 250)'>dowód</span> mojej wielkiej pedagogicznej klęski </h6></i></p>",<h3>evidence</h3>,"<p><i><h6>To jest <span style='color:rgb(0, 180, 250)'>dowód</span> mojej wielkiej pedagogicznej klęski </h6></i></p>"
5,dysk,dysk,disk/storage,a potem wrzućcie ten film na jakiś dysk,"<h4 style='color:rgb(0, 180, 250)'>dysk</h4>    <p><i><h6>a potem wrzućcie ten film na jakiś <span style='color:rgb(0, 180, 250)'>dysk</span> </h6></i></p>",<h3>disk/storage</h3>,"<p><i><h6>a potem wrzućcie ten film na jakiś <span style='color:rgb(0, 180, 250)'>dysk</span> </h6></i></p>"
6,dziedzina,pole,field/area,"która jest dobrze znana w wielu dziedzinach,","<h4 style='color:rgb(0, 180, 250)'>dziedzina</h4>    <p><i><h6>która jest dobrze znana w wielu <span style='color:rgb(0, 180, 250)'>dziedzinach,</span> </h6></i></p>",<h3>field/area</h3>,"<p><i><h6>która jest dobrze znana w wielu <span style='color:rgb(0, 180, 250)'>dziedzinach,</span> </h6></i></p>"
7,efektywnie,wydajnie,efficiently,jak efektywnie planować i jak efektywnie te plany realizować,"<h4 style='color:rgb(0, 180, 250)'>efektywnie</h4>    <p><i><h6>jak <span style='color:rgb(0, 180, 250)'>efektywnie</span> planować i jak <span style='color:rgb(0, 180, 250)'>efektywnie</span> te plany realizować </h6></i></p>",<h3>efficiently</h3>,"<p><i><h6>jak <span style='color:rgb(0, 180, 250)'>efektywnie</span> planować i jak <span style='color:rgb(0, 180, 250)'>efektywnie</span> te plany realizować </h6></i></p>"
8,formalny,formalny,formal,i różnych formalnych biznesowych konstrukcji,"<h4 style='color:rgb(0, 180, 250)'>formalny</h4>    <p><i><h6>i różnych <span style='color:rgb(0, 180, 250)'>formalnych</span> biznesowych konstrukcji </h6></i></p>",<h3>formal</h3>,"<p><i><h6>i różnych <span style='color:rgb(0, 180, 250)'>formalnych</span> biznesowych konstrukcji </h6></i></p>"
9,formuła,formuła,formula,"kiedy w ich formule pojawiają się jakieś przedziały czasu,","<h4 style='color:rgb(0, 180, 250)'>formuła</h4>    <p><i><h6>kiedy w ich <span style='color:rgb(0, 180, 250)'>formule</span> pojawiają się jakieś przedziały czasu, </h6></i></p>",<h3>formula</h3>,"<p><i><h6>kiedy w ich <span style='color:rgb(0, 180, 250)'>formule</span> pojawiają się jakieś przedziały czasu, </h6></i></p>"
10,grafik,grafik,graphic designer," Gdzie jest ten komputer, ustalamy grafik","<h4 style='color:rgb(0, 180, 250)'>grafik</h4>    <p><i><h6> Gdzie jest ten komputer, ustalamy <span style='color:rgb(0, 180, 250)'>grafik</span> </h6></i></p>",<h3>graphic designer</h3>,"<p><i><h6> Gdzie jest ten komputer, ustalamy <span style='color:rgb(0, 180, 250)'>grafik</span> </h6></i></p>"
11,ignorować,ignorować,to ignore,Nie ignoruj mnie,"<h4 style='color:rgb(0, 180, 250)'>ignorować</h4>    <p><i><h6>Nie <span style='color:rgb(0, 180, 250)'>ignoruj</span> mnie </h6></i></p>",<h3>to ignore</h3>,"<p><i><h6>Nie <span style='color:rgb(0, 180, 250)'>ignoruj</span> mnie </h6></i></p>"
12,istotny,odpowiedni,relevant,Cele powinny być istotne,"<h4 style='color:rgb(0, 180, 250)'>istotny</h4>    <p><i><h6>Cele powinny być <span style='color:rgb(0, 180, 250)'>istotne</span> </h6></i></p>",<h3>relevant</h3>,"<p><i><h6>Cele powinny być <span style='color:rgb(0, 180, 250)'>istotne</span> </h6></i></p>"
13,jednocześnie,jednocześnie,simultaneously,No ale nie możesz ich przerabiać wszystkich jednocześnie,"<h4 style='color:rgb(0, 180, 250)'>jednocześnie</h4>    <p><i><h6>No ale nie możesz ich przerabiać wszystkich <span style='color:rgb(0, 180, 250)'>jednocześnie</span> </h6></i></p>",<h3>simultaneously</h3>,"<p><i><h6>No ale nie możesz ich przerabiać wszystkich <span style='color:rgb(0, 180, 250)'>jednocześnie</span> </h6></i></p>"
14,klęska,pokonać,to defeat/failure,To jest dowód mojej wielkiej pedagogicznej klęski,"<h4 style='color:rgb(0, 180, 250)'>klęska</h4>    <p><i><h6>To jest dowód mojej wielkiej pedagogicznej <span style='color:rgb(0, 180, 250)'>klęski</span> </h6></i></p>",<h3>to defeat/failure</h3>,"<p><i><h6>To jest dowód mojej wielkiej pedagogicznej <span style='color:rgb(0, 180, 250)'>klęski</span> </h6></i></p>"
