,polish
0,achievable
1,ajajaj
2,akcja
3,akurat
4,ambasada
5,ambasady
6,angielskich
7,angielskiego
8,angielsku
9,ani
10,antek
11,autobus
12,automacie
13,automat
14,automaty
15,automatycznie
16,ała
17,aż
18,bagaż
19,bagaże
20,bardziej
21,be
22,bez
23,bezprzedziałowe
24,bezprzedziałowy
25,bezprzedziałowych
26,bezwzględni
27,bezwzględny
28,bieżąco
29,bilecie
30,bilet
31,biletowe
32,bilety
33,biletów
34,biznesowego
35,biznesowej
36,biznesowych
37,boże
38,bożonarodzeniowych
39,braknąć
40,brytyjski
41,brytyjskiej
42,brzmiała
43,brzmieć
44,by
45,bywa
46,bywać
47,była
48,były
49,bądźcie
50,całe
51,celach
52,celu
53,celów
54,challenge
55,chcesz
56,chcieli
57,chcielibyśmy
58,chcieć
59,chcę
60,chodzić
61,chodził
62,chodźcie
63,chwil
64,chwila
65,chwili
66,ciebie
67,ciekawi
68,ciekawszy
69,ciekawy
70,codziennie
71,continuous
72,czas
73,czemu
74,czytajcie
75,czytać
76,często
77,częściej
78,część
79,dajesz
80,daleki
81,dalekie
82,dalekobieżny
83,dalekobieżnych
84,dalekobieżnym
85,dalszej
86,deadline
87,deadline'ach
88,deadline'ami
89,dedykowane
90,dedykowany
91,dni
92,dnia
93,dniach
94,dobiega
95,dobiegać
96,docelowego
97,docelowy
98,dodatkowo
99,dojdziecie
100,dojechać
101,dojechałyśmy
102,dojść
103,dokument
104,dokładne
105,dokładnie
106,domowy
107,domowym
108,dopasowane
109,dopasowany
110,doskonale
111,dostaje
112,dostajemy
113,dostaniemy
114,dostać
115,dostałyśmy
116,dotyczące
117,dowiecie
118,dowiedzieć się
119,dowód
120,dołączyć
121,drodzy
122,droga
123,drogi
124,drogie
125,drogę
126,drożdżówka
127,drożdżówki
128,droższe
129,droższy
130,drugiej
131,drugą
132,drzwi
133,drzwiach
134,duże
135,duży
136,dużą
137,dwadzieścia
138,dwie
139,dwieście
140,dworcu
141,dworzec
142,dwudziestego
143,dwudziesty
144,dysk
145,działa
146,działać
147,dziedzinach
148,dzieje
149,dziennie
150,dzień
151,dzisiejsza
152,dzisiejsze
153,dzisiejszy
154,dzisiejszym
155,dzięki
156,długi
157,długich
158,długie
159,dźwięku
160,easypolish
161,efektywnie
162,fajną
163,fan
164,fanami
165,film
166,filmik
167,filmikach
168,filmiku
169,filmu
170,formalnej
171,formalnych
172,formule
173,funkcjonuja
174,funkcjonuje
175,future
176,go
177,goals
178,godziny
179,godzinę
180,gorszej
181,grafik
182,gramatyki
183,gramatykę
184,grono
185,grudniu
186,gwarantuja
187,gwarantują
188,góra
189,góry
190,głowa
191,głowami
192,głowy
193,herbata
194,herbatę
195,hiszpański
196,hiszpańskim
197,hiszpańsku
198,hmm
199,idiomów
200,idzie
201,ignoruj
202,info@
203,info@easypolish
204,informacyjny
205,informacyjnym
206,inna
207,inni
208,inny
209,innym
210,instagrama
211,intercity
212,internet
213,internetem
214,internetowej
215,istotne
216,iść
217,jaka
218,jaki
219,jakich
220,jakichś
221,jakie
222,jakikolwiek
223,jakim
224,jakimś
225,jakości
226,jakość
227,jaką
228,jakąś
229,jechać
230,jedna
231,jedno
232,jednocześnie
233,jednym
234,jedziecie
235,jesteście
236,jorku
237,języków
238,kalendarz
239,kara
240,karę
241,kasa
242,kasami
243,kasie
244,kasy
245,kawa
246,kawiarenek
247,kawiarenka
248,kawy
249,każdego
250,każdej
251,każdy
252,każdą
253,kiedyś
254,klasa
255,klasie
256,klasę
257,klikając
258,klikać
259,klęski
260,kochanych
261,kod
262,kodu
263,koleja
264,koleje
265,kolejek
266,kolejne
267,kolejny
268,kolejnych
269,komputer
270,komórka
271,komórkach
272,konkretne
273,konkrety
274,konstrukcje
275,konstrukcji
276,kontroler
277,kontrolerzy
278,kontroli
279,kontrolę
280,koło
281,końcowe
282,kończę
283,kraj
284,krajach
285,kroczki
286,krótsze
287,krótszy
288,książek
289,księga
290,który
291,którym
292,którzy
293,kuchennych
294,kulturoznawczej
295,kupicie
296,kupiliście
297,kupimy
298,kupiony
299,kupić
300,kupować
301,kupujecie
302,kupujemy
303,kusi
304,kusić
305,lekcje
306,lepiej
307,lepszej
308,lepszy
309,liczby
310,liczny
311,licznych
312,linia
313,linii
314,link
315,linki
316,linkiem
317,lipcu
318,listę
319,literę
320,logicznie
321,lokalne
322,lokalni
323,lokalny
324,lotniczy
325,lotniczych
326,lubiane
327,lubiany
328,ludziom
329,lusterkiem
330,ma
331,macie
332,maila
333,maile
334,mailem
335,maili
336,maksymalnie
337,materiał
338,materiału
339,mazowieckie
340,małe
341,małego
342,mało
343,małopolskie
344,mały
345,małych
346,measurable
347,megafon
348,metoda
349,metodę
350,miasta
351,miastami
352,miało
353,miejsca
354,miejscu
355,mierzalne
356,mierzyć
357,mieć
358,mieście
359,mimo
360,minut
361,między
362,międzymiastowe
363,międzymiastowy
364,miłego
365,miłej
366,miły
367,mnóstwo
368,mną
369,mocny
370,mocną
371,mogą
372,moich
373,mojego
374,mojej
375,momenty
376,możesz
377,możliwe
378,musi
379,musiała
380,musimy
381,musić
382,myślę
383,mógł
384,nadzieja
385,nadzieją
386,nagracie
387,najbardziej
388,najgorzej
389,najlepsze
390,najpóźniej
391,najtrudniej
392,najważniejsze
393,najważniejszy
394,największy
395,największymi
396,najść
397,nakłaniają
398,nakłaniać
399,napisane
400,napisany
401,napisać
402,napić
403,napoje
404,naprzeciwko
405,napój
406,narodzenie
407,następnego
408,nasze
409,naszego
410,naszej
411,naszła
412,natkniecie
413,natomiast
414,nauczaniu
415,nauczę
416,naukę
417,nazwisko
418,nazywa
419,nazywają
420,nazywać
421,netfliksie
422,netflixie
423,niego
424,niej
425,niekoniecznie
426,nieotwartych
427,niepełnosprawnościami
428,niepełnosprawność
429,niespodziewane
430,niestety
431,niewyraźne
432,niewyraźny
433,nikogo
434,nimi
435,niż
436,nowe
437,nowego
438,nowojorskiego
439,nowojorskim
440,nowy
441,nowych
442,nowym
443,numer
444,numerek
445,numerki
446,numerze
447,obcych
448,obejrzeć
449,obiad
450,obiecujemy
451,obietnicę
452,oboczności
453,obostrzenia
454,obostrzenie
455,obsługiwać
456,obsługują
457,ochota
458,ochoty
459,oczach
460,oczywiste
461,odbywa
462,odbywać
463,odcinki
464,odcinkiem
465,odjazd
466,odjazdów
467,odjechać
468,odjedzie
469,odjeżdża
470,odnosi
471,odpiszesz
472,odpiszę
473,odpowiedni
474,odpowiednie
475,odpowiednim
476,odpowiednią
477,oferować
478,oferował
479,oglądam
480,oglądać
481,okienko
482,okienku
483,oknie
484,okno
485,okresu
486,one
487,oparłyśmy
488,opcja
489,opcji
490,opcję
491,opowiedzieć
492,opublikować
493,opóźnienia
494,opóźnienie
495,opłaca
496,opłacać
497,org
498,osadzone
499,osiemnastej
500,osiągalne
501,osiągać
502,osiągnięcia
503,osiągnięcie
504,osiągnięciu
505,osiągnąć
506,osiągnęli
507,osoba
508,osobom
509,osobą
510,ostatni
511,ostatnie
512,ostatniej
513,ostatnio
514,oznacza
515,oznaczać
516,oznaczone
517,oznaczony
518,pa
519,pamiętać
520,pana
521,pani
522,para
523,parach
524,partię
525,partnera
526,partnerki
527,partnerkę
528,parę
529,pasażer
530,pasażera
531,pasażerami
532,patronów
533,patrzcie
534,patrzeć
535,państwowy
536,państwowych
537,pedagogicznej
538,perfect
539,peron
540,peronie
541,peronu
542,pieniądz
543,pieniędzy
544,pierwsza
545,pierwszej
546,pierwszy
547,pierwszą
548,piętnaście
549,pkp
550,plan
551,planować
552,planujecie
553,planujemy
554,plany
555,po prostu
556,pociąg
557,pociągach
558,pociągami
559,pociągiem
560,pociągu
561,poczekalni
562,poczekalnia
563,poczekać
564,poczytajcie
565,pod
566,podawany
567,podawanym
568,podchodzicie
569,podchodzić
570,podejmowali
571,podkarpacki
572,podkarpackie
573,podróż
574,podróżowania
575,podróżowanie
576,podróżować
577,podróżujecie
578,podróżują
579,podróży
580,podstawowe
581,podstawowy
582,podzielcie
583,pojawia
584,pojawili
585,pojedynczej
586,pokazać
587,pola
588,pole
589,polecamy
590,polecać
591,polski
592,polskimi
593,polską
594,pominąć
595,pomiędzy
596,pomyślałam
597,poniedziałek
598,poniedziałku
599,poodpisywałabyś
600,porozmawiajmy
601,porządnie
602,poszukiwanie
603,poszukiwaniu
604,potrafię
605,potrzeb
606,potrzebne
607,potrzebny
608,potrzebuje
609,potrzeby
610,potrzymaj
611,powiecie
612,powiedz
613,powiedzcie
614,powieść
615,powinnam
616,powinniśmy
617,powinny
618,poza
619,poziomu
620,poznasz
621,poćwiczysz
622,położyć
623,połączenia
624,połączenie
625,połączeń
626,pożegnamy
627,pożegnać
628,pracownik
629,pracowników
630,praktyczne
631,praktycznie
632,prawdopodobne
633,prawie
634,precyzyjny
635,preferencja
636,preferencji
637,prezentujemy
638,problem
639,problemu
640,procesie
641,projekt
642,promocja
643,promocjami
644,promocji
645,propozycję
646,prostu
647,przebrnąć
648,przeczytam
649,przedziałowe
650,przedziałowy
651,przedziały
652,przejmować
653,przejmujcie
654,przekąska
655,przekąskę
656,przemieszczacie
657,przemieszczać
658,przemyślałam
659,przerabiać
660,przerobiłam
661,przesiadamy
662,przesiadać
663,przewozić
664,przewozu
665,przewoźnicy
666,przewoźnik
667,przewożenia
668,przewożenie
669,przewóz
670,przyborów
671,przychodzisz
672,przychodzę
673,przyda
674,przydadzą
675,przydatnego
676,przydzielane
677,przydzielany
678,przydzielonego
679,przyglądajcie
680,przyglądać
681,przygotowani
682,przygotowany
683,przygotować
684,przygotowałam
685,przyjaciół
686,przyjazd
687,przyjazdów
688,przyjechać
689,przyjechałyśmy
690,przyjedziecie
691,przyjść
692,przynajmniej
693,przypadek
694,przypadkiem
695,przypięty
696,przypiętą
697,przypomina
698,przypominać
699,przyszłym
700,przysłowie
701,przysłuchiwać
702,przysługiwać
703,przysługują
704,przyznać
705,próbować
706,próbują
707,próbuję
708,punktu
709,punktualność
710,punkty
711,pupil
712,pupila
713,pupilem
714,pułapka
715,płacić
716,płynnie
717,qr
718,rama
719,ramach
720,raźniej
721,realistyczne
722,realizować
723,realnie
724,regionalne
725,regionalny
726,regionalnych
727,regionalnym
728,relacja
729,relację
730,relevant
731,restauracja
732,restauracji
733,restauracyjne
734,restauracyjnego
735,restauracyjny
736,rodzina
737,rok
738,roku
739,rower
740,roweru
741,rowerów
742,rozglądajcie
743,rozglądać
744,rozmawiamy
745,rozmawiasz
746,rozpisane
747,rozumiecie
748,rozumieją
749,rozumiem
750,rozumieć
751,rozwinąć
752,rozwiązanie
753,rozwiązań
754,ruszamy
755,ruszać
756,rzeczy
757,rzeczywiście
758,rządek
759,rządkach
760,różny
761,różnymi
762,sami
763,samo
764,samolot
765,samolotach
766,samym
767,sczytać
768,serial
769,should
770,siadłam
771,siebie
772,siedemnastej
773,siedzeniami
774,siedzenie
775,siedzieć
776,siedzą
777,siedzącego
778,siedzący
779,siąść
780,siły
781,skoro
782,skorzystacie
783,skorzystaliście
784,skorzystać
785,skrzynce
786,skrót
787,składam
788,składania
789,slangiem
790,slangu
791,smart
792,soba
793,sobą
794,spadły
795,spaść
796,specific
797,specjalne
798,specjalnie
799,specjalny
800,specjalnych
801,społeczności
802,społeczność
803,sprawdzić
804,sprawia
805,sprawiać
806,sprawę
807,sprytny
808,sprytnym
809,spóźni
810,spóźnicie
811,spóźnić
812,stacjonarnie
813,stan
814,stanie
815,stare
816,stać
817,strona
818,stronie
819,stroną
820,stronę
821,student
822,studentem
823,stwierdzić
824,stwierdziłyśmy
825,stąd
826,sukcesu
827,sumiennie
828,super
829,superzaproszenie
830,swoje
831,swojego
832,swój
833,sytuacje
834,sytuacji
835,szczegółowe
836,szczegółowy
837,sześć
838,sześćdziesiąt
839,szkoły
840,szukając
841,szukać
842,słownictwa
843,słyszałam
844,słówek
845,tablica
846,tablicach
847,tablicom
848,tablicą
849,tak samo
850,taki
851,takiej
852,taką
853,tani
854,tanich
855,tańsze
856,tańszy
857,telefon
858,telefonie
859,teoretycznie
860,termin
861,time-based
862,toaleta
863,toalety
864,toaletę
865,tor
866,toru
867,tożsamości
868,tożsamość
869,tradycyjny
870,tradycyjnych
871,trasa
872,trasy
873,trudne
874,trzech
875,trzeci
876,trzecia
877,trzeciego
878,trzymać
879,turysta
880,twoich
881,twoim
882,twoimi
883,tygodnia
884,tygodniu
885,tyle
886,tysiące
887,uczeń
888,uczniem
889,udaje
890,udawać
891,udać
892,udało
893,udział
894,ukontentowana
895,umiejętnościami
896,uniemożliwiają
897,uniemożliwiać
898,uniknąć
899,upiera
900,uporządkowaną
901,uprawnia
902,uprawniający
903,uprawniać
904,urządzenie
905,urządzeniom
